Dataset,AnalysisType,LLM_Cluster_Used,Model,Mean_AUC,AUC_StdDev,SVI,TopFeatures
data_79_quadratic,Unassisted,N/A,LogisticReg,0.5962458726487188,0.06805305231518272,14.705882352941176,N/A
data_79_quadratic,Unassisted,N/A,RandomForest,0.8727791375717909,0.036476789570955404,14.705882352941176,N/A
data_79_quadratic,Unassisted,N/A,GradientBoost,0.898230736299298,0.049076487936473394,14.705882352941176,N/A
data_79_quadratic,Assisted,cluster_gatortron,LogisticReg,0.622545655402421,0.061297167845181515,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_gatortron,RandomForest,0.8778826054967717,0.03543803824787153,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_gatortron,GradientBoost,0.8836410444906901,0.048492965875977026,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_roberta,LogisticReg,0.6248005503035283,0.061881021812351326,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_roberta,RandomForest,0.8727681624211027,0.040438823332149945,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_roberta,GradientBoost,0.8858233635279373,0.05358171774051748,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_ernie,LogisticReg,0.6141728197823204,0.061745163905267665,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_ernie,RandomForest,0.8708293532195397,0.03839683279520814,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_ernie,GradientBoost,0.8849206596854864,0.05393887315837742,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_minilm,LogisticReg,0.6213822497045717,0.06292009012175315,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_minilm,RandomForest,0.8733428500914782,0.03638478210184081,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_minilm,GradientBoost,0.8897078345347954,0.048226609742453824,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_llama,LogisticReg,0.6068870100273924,0.06173404079015744,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_llama,RandomForest,0.8725729162484538,0.03730135303501762,14.285714285714286,N/A
data_79_quadratic,Assisted,cluster_llama,GradientBoost,0.8925076866788071,0.0504017392470177,14.285714285714286,N/A
