x1,x2,x3,cat1,cat2,cat3,cat4,cat5,cat6
155.5540482114764,150.81858307158015,171.8101689005221,Category_1_B,Category_2_B,Category_3_B,Category_4_A,Category_5_A,Category_6_A
194.75082440069824,195.0982160884249,-166.50271910979782,Category_1_B,Category_2_A,Category_3_B,Category_4_B,Category_5_B,Category_6_A
106.48557065322736,94.37966643229372,247.10284079976395,Category_1_B,Category_2_A,Category_3_B,Category_4_A,Category_5_A,Category_6_A
109.31498396086,104.05323646960971,790.3772548489809,Category_1_B,Category_2_A,Category_3_A,Category_4_B,Category_5_A,Category_6_A
209.45202227809787,191.2189628472148,763.4805221776539,Category_1_B,Category_2_A,Category_3_B,Category_4_A,Category_5_B,Category_6_B
199.06898494834624,200.2127633385504,2.8085916575138,Category_1_A,Category_2_B,Category_3_B,Category_4_B,Category_5_A,Category_6_B
152.18084925522555,157.80798154683907,-48.44386814445377,Category_1_A,Category_2_B,Category_3_B,Category_4_B,Category_5_A,Category_6_A
205.5105302920969,205.98158536561485,131.7673606240328,Category_1_B,Category_2_B,Category_3_B,Category_4_A,Category_5_A,Category_6_B
102.8322668951814,90.34588821752706,-72.40926671129289,Category_1_A,Category_2_A,Category_3_B,Category_4_B,Category_5_A,Category_6_A
104.44036459033894,94.24777460748038,59.14511706170519,Category_1_A,Category_2_A,Category_3_A,Category_4_A,Category_5_B,Category_6_B
90.70073048202876,96.83813102353136,-816.2184308544179,Category_1_A,Category_2_A,Category_3_B,Category_4_B,Category_5_A,Category_6_A
95.9689894177836,90.81787656714624,-138.2825459555836,Category_1_A,Category_2_B,Category_3_A,Category_4_A,Category_5_B,Category_6_A
91.17024983764148,101.4311131289875,-691.7523316412799,Category_1_A,Category_2_A,Category_3_B,Category_4_B,Category_5_A,Category_6_A
57.14121885174398,41.22877778321659,294.1246920687414,Category_1_A,Category_2_A,Category_3_B,Category_4_A,Category_5_A,Category_6_A
247.4570805574961,240.28979321033816,-104.90885927624524,Category_1_B,Category_2_B,Category_3_A,Category_4_B,Category_5_B,Category_6_B
103.59695903156194,91.1333338387672,-29.430262690765154,Category_1_A,Category_2_A,Category_3_A,Category_4_A,Category_5_B,Category_6_B
